081215784 16    6.208    7.661 BAND 0.1563 0.0363 -0.713 0.101 -2.380 0.165  120.20   11.10   81.39   9.66   510.65 476   21.249    3.6     2.5136E-06 3.6E-07
081215784 17    7.661   12.288 none ---    ---     ---   ---    ---   ---      ---     ---     ---    ---      ---    -    ---      ---              -       -
081221681  1   -1.024    5.695 PL   0.0020 0.0007 -1.563 0.026  ---   ---      ---     ---     ---    ---    573.26 361    1.1728   0.43    1.6939E-07 6.0E-08
081221681  2    5.695   15.558 none ---    ---     ---   ---    ---   ---      ---     ---     ---    ---      ---    -    ---      ---              -       -
081221681  3   15.558   17.846 none ---    ---     ---   ---    ---   ---      ---     ---     ---    ---      ---    -    ---      ---              -       -
081221681  4   17.846   18.544 PL   0.0061 0.0023 -1.557 0.029  ---   ---      ---     ---     ---    ---    646.41 361    3.6137   1.4     5.2670E-07 2.0E-07
081221681  5   18.544   19.124 none ---    ---     ---   ---    ---   ---      ---     ---     ---    ---      ---    -    ---      ---              -       -
081221681  6   19.124   19.688 PL   0.0078 0.0026 -1.541 0.028  ---   ---      ---     ---     ---    ---    638.69 361    4.5712   1.5     6.8362E-07 2.2E-07
081221681  7   19.688   20.248 none ---    ---     ---   ---    ---   ---      ---     ---     ---    ---      ---    -    ---      ---              -       -
081221681  8   20.248   20.720 PL   0.0096 0.0027 -1.527 0.028  ---   ---      ---     ---     ---    ---    534.98 361    5.6117   1.6     8.5835E-07 2.4E-07
081221681  9   20.720   21.140 none ---    ---     ---   ---    ---   ---      ---     ---     ---    ---      ---    -    ---      ---              -       -
081221681 10   21.140   21.486 PL   0.0094 0.0031 -1.505 0.029  ---   ---      ---     ---     ---    ---    552.35 361    5.3764   1.8     8.5301E-07 2.8E-07
081221681 11   21.486   21.833 PL   0.0080 0.0031 -1.501 0.029  ---   ---      ---     ---     ---    ---    640.99 361    4.5334   1.8     7.2373E-07 2.8E-07
081221681 12   21.833   22.248 PL   0.0088 0.0031 -1.547 0.029  ---   ---      ---     ---     ---    ---    618.8  361    5.1998   1.9     7.7012E-07 2.7E-07
081221681 13   22.248   22.764 none ---    ---     ---   ---    ---   ---      ---     ---     ---    ---      ---    -    ---      ---              -       -
081221681 14   22.764   23.309 none ---    ---     ---   ---    ---   ---      ---     ---     ---    ---      ---    -    ---      ---              -       -
081221681 15   23.309   23.828 none ---    ---     ---   ---    ---   ---      ---     ---     ---    ---      ---    -    ---      ---              -       -
081221681 16   23.828   24.272 PL   0.0085 0.0031 -1.560 0.028  ---   ---      ---     ---     ---    ---    572.69 361    5.0861   1.9     7.3763E-07 2.6E-07
081221681 17   24.272   24.652 none ---    ---     ---   ---    ---   ---      ---     ---     ---    ---      ---    -    ---      ---              -       -
081221681 18   24.652   25.150 none ---    ---     ---   ---    ---   ---      ---     ---     ---    ---      ---    -    ---      ---              -       -
081221681 19   25.150   25.728 none ---    ---     ---   ---    ---   ---      ---     ---     ---    ---      ---    -    ---      ---              -       -
081221681 20   25.728   26.216 none ---    ---     ---   ---    ---   ---      ---     ---     ---    ---      ---    -    ---      ---              -       -
081221681 21   26.216   26.689 none ---    ---     ---   ---    ---   ---      ---     ---     ---    ---      ---    -    ---      ---              -       -
081221681 22   26.689   27.191 none ---    ---     ---   ---    ---   ---      ---     ---     ---    ---      ---    -    ---      ---              -       -
081221681 23   27.191   27.676 none ---    ---     ---   ---    ---   ---      ---     ---     ---    ---      ---    -    ---      ---              -       -
081221681 24   27.676   28.206 none ---    ---     ---   ---    ---   ---      ---     ---     ---    ---      ---    -    ---      ---              -       -
081221681 25   28.206   28.771 none ---    ---     ---   ---    ---   ---      ---     ---     ---    ---      ---    -    ---      ---              -       -
081221681 26   28.771   29.368 none ---    ---     ---   ---    ---   ---      ---     ---     ---    ---      ---    -    ---      ---              -       -
081221681 27   29.368   30.074 none ---    ---     ---   ---    ---   ---      ---     ---     ---    ---      ---    -    ---      ---              -       -
081221681 28   30.074   30.881 none ---    ---     ---   ---    ---   ---      ---     ---     ---    ---      ---    -    ---      ---              -       -
081221681 29   30.881   32.020 none ---    ---     ---   ---    ---   ---      ---     ---     ---    ---      ---    -    ---      ---              -       -
081221681 30   32.020   34.288 none ---    ---     ---   ---    ---   ---      ---     ---     ---    ---      ---    -    ---      ---              -       -
081221681 31   34.288   54.272 none ---    ---     ---   ---    ---   ---      ---     ---     ---    ---      ---    -    ---      ---              -       -
081224887  1    0.000    1.036 COMP 0.0416 0.0033 -0.244 0.064  ---   ---    766.00   54.90    ---    ---    566.66 478   13.498    0.74    5.9482E-06 2.5E-07
081224887  2    1.036    1.796 COMP 0.0773 0.0067 -0.149 0.062  ---   ---    528.90   29.80    ---    ---    502.14 478   19.271    1.1     7.2254E-06 3.2E-07
